tweet,label
Kelakuan artis Rizky Billar di tengah isu perselingkuhan dan dugaan KDRT yang menimpanya justru membuat netizen geleng-geleng kepala.  https://t.co/5hYjYkAyB6,pro
Polisi Minta Rizky Billar Kooperatif Penuhi Panggilan Untuk Dimintai Keterangan Sebagai Saksi  https://t.co/RM01ki6SZz,pro
Kuasa Hukum Ungkap Rizky Billar Tak Menyesal dan Merasa Bersalah  https://t.co/7OAzM7BnSx  https://t.co/LXOl9S6Cmj,kontra
Lesti â€“ Billar terkini!!!!! 5 fakta kdrt yang di lakukan rizkyÂ billar  https://t.co/xbX5pcnvix,kontra
"Rizky Billar akhirnya buka suara, dia menjelaskan setiap inci penyebab luka ditubuh Lesti Kejora  https://t.co/4cA5akXp0V",kontra
BACA INI RIZKY BILLAR!!!,pro
"Rizky Billar Dipecat Program TV, Sang Kakak: Menurut Saya ItuÂ Salah  https://t.co/mQOQmqBeXq",kontra
Inikah Orang Ketiga di Rumah Tangga Lesti Kejora dan Rizky Billar? | Intip Seleb ANTV  https://t.co/8F5JZPDvho,kontra
"Punya Harta Rp400 Miliar, Satria Mulia Bongkar Tarif Rizky Billar  https://t.co/7eLjzb6WdR  https://t.co/CIFp85r4Ss",kontra
@ikrarfahri @adindivv @ESPNUK temennya Rizky Billar ya lu a?,kontra
@RizkyBillar Betul kk bilar,kontra
"Postingan Pribadi Rizky Billar Tersebar, Marah dan Singgung Sosok Pengkhianat  https://t.co/MOD7zxVP2u",kontra
Satria Mulia Tak Percaya Rizky Billar Punya Harta Rp400 Miliar  https://t.co/zGpajbP4MB  https://t.co/LJRgwNoHnR,kontra
Ini Rizky Billar kesambet apaan sih smp kaya gitu ke Lesti di depan orang2 lagi. HIH ðŸ¤¬,kontra
@oneiromansy Ayah ojak mah depok. Aku mau sama rizky billar aja biar kalo yang gabisa diatur langsung di choke slam.,pro
Momen Rizky Billar Lempar Bola Biliar ke Lesti Kejora  https://t.co/RBJaM1aPqD,kontra
@AnisaFbrn6 @nasyahta_a @aeribase RIZKY BILLAR GUNDULMU,kontra
"Nama Baik Kini Tercoreng, Kubu Rizky Billar Minta Perlindungan ke Presiden #RizkyBillar  https://t.co/pWSxRnwBEh &amp;utm_medium=social&amp;utm_source=twitter",kontra
"RIZKY BILLAR, I WISH YOU ROT IN HELL",pro
Buset! Rizky Billar Like Video Mesum di Twitter - SuaraFresh  https://t.co/HwqzfUfUE2,kontra
"Kabar Terbaru Lesti dan Rizky Billar, Keberadaan Penjaga Rumah Leslar yang Seharusnya Jadi Saksi   #Lesti #RizkyBillar #LeslarLovers #Leslar #LestiKejora   https://t.co/IcwuogdFEI lewat @tribunkaltim",pro
Rizky billar nih awikwok banget,pro
"Rizky Billar Dituding Punya Anak Cewek, Terbongkar Fakta Sebenarnya!  https://t.co/Wy2dHpOpks  https://t.co/cC12vqGNV2",kontra
Tanggapan Keluarga soal Rizky Billar Dicekal KPI  https://t.co/b4cJGib8MX,pro
Ayu Thalia Ngakak Disebut Selingkuhan Rizky Billar Karena Pamer Foto Bareng: Salah Sasaran   https://t.co/YByi8JyOTI,kontra
Pemanggilan kedua untuk pemeriksaan terhadap Rizky Billar sudah dijadwalkan pada 13 Oktober 2022.  https://t.co/rryVeHvbRV,pro
@tanyakanrl Gak sih. Yg penting ga melewati privasinya (?) aku ngecek sebates pgen tau apkh dia ad indikasi masuk komunitas rizkybillar lovers atau nggk,pro
"Kasus KDRT Lesti, Polisi Layangkan Panggilan Kedua Rizky Billar #NewsRCTIPlus @RCTIPlus  https://t.co/ClfB5CUfTu",pro
Ayu Thalia Ngakak Disebut Selingkuhan Rizky Billar karena Pamer Foto Bareng: Salah Sasaran #NewsRCTIPlus @RCTIPlus  https://t.co/m6V7V2sNhJ,kontra
"@Askrlfess Rizky Billar, siap2 diatap rumah lo ada banaspati kiriman dari gue karna lo ga tau diri dan benalu, ANJING!!!",pro
@convomfs rizky billar ini memang cocok jdi badut pala gede alias omongan doang gede bgst,pro
"ibu gue tbtb nanya ""dek rizky billar meninggal?"" berita tiktok dipercayaðŸ˜­",kontra
"Video CCTV Rizky Billar Ngamuk Lempar Biliar ke Lesti Terungkap, Skakmat...  https://t.co/EUrpnhOPs3",kontra
"#RizkyBillar #LestyKejora #AyuThalia |  ""Ada beredar di Instagram kan diduga berselingkuh. Ada wanita yang diduga selingkuhannya, katanya,"" ucap Raffi.   https://t.co/nu8d7rRH8J",kontra
"Rizky Billar Pernah Mengontrak di Apartemennya, Iis Dahlia Tak Menyangka Bisa KDRT  https://t.co/Hn2QTPYu0W #KDRT #LestiKejora #PasanganSelebritis #RizkyBillar",kontra
"Tonton ""Rizky Billar Enggan Minta Maaf"" di YouTube  https://t.co/55h0RxvOLq",kontra
"Penjaga rumah kediaman Lesti Kejora dan Rizky Billar, masih belum hadir hingga malam hari, pasca-pol #berita #gosip  https://t.co/1ISjaljIPz",kontra
@Ploctter rizky billar,kontra
"Dugaan Perselingkuhan Jadi Motif Rizky Billar KDRT Lesti Kejora, Polisi: Masih Kita Dalami #NewsRCTIPlus @RCTIPlus  https://t.co/6kdskCDuDX",pro
"Rizky Billar Dibela Ayah Angkat Habis-habisan, Idzhar Wilendra Bilang Begini #NewsRCTIPlus @RCTIPlus  https://t.co/KczSlQ0WYO",kontra
Ayah Angkat Rizky Billar Buka Suara Soal Viral Cicilan dan Kapal Pesiar Mewah #NewsRCTIPlus @RCTIPlus  https://t.co/KA4uKToic7,pro
"Video CCTV Rizky Billar Ngamuk Lempar Biliar ke Lesti Terungkap,Â Skakmatâ€¦  https://t.co/syLiqKH3sz",kontra
"Sempat Janji Lindungi Lesti Kejora, Ayah Angkat Rizky Billar Kini Bersikap Sebaliknya   #Sindonews #BukanBeritaBiasa . https://t.co/w6PSoiNDse",kontra
Ternyata Rizky Billar dan Lesti Sempat Berhubungan Intim Sebelum Heboh IsuÂ KDRT  https://t.co/C9lCxD72IS,kontra
"3 Pernyataan Pengacara Rizky Billar, Tepis Isu KDRT Lesti Kejora #NewsRCTIPlus @RCTIPlus  https://t.co/62daHmin9S",kontra
#LestyKejora #RizkyBillar #Selebriti |  Lesti Kejora telah melaporkan Rizky Billar ke pihak berwajib atas dugaan KDRT.   https://t.co/QFe1e54l2K,pro
Polisi Buka Suara soal Kemungkinan Jemput Paksa Rizky Billar  https://t.co/FY4WSL5Cq1,pro
Rizky Billar Telepon Dirinya Usai Hajar Lesti Kejora? Raffi Ahmad Keceplosan dan Akui Hal Ini: Besok Kita Dengerin  https://t.co/rbikWNyBeS,kontra
" https://t.co/bmWaLcxFH0 Rizky Billar Kedapatan Beri Jempol Like Video Mesum Sepasang Kekasih - Makassar Terkini #viral #mesum #video October 11, 2022 at 09:11PM",kontra
Hubungan Lesti Kejora dan Rizky Billar belum sepenuhnya terputus.Keduanya dikabarkan masih menjalin  #berita #gosip   https://t.co/JXp8fNziob,kontra
.. https://t.co/pzDEgtt4ri  detikcom mendapatkan video eksklusif momen Rizky Billar melemparkan bola biliar ke arah Lesti Kejora. Begini penjelasan polisi.,kontra
Sang Kakak Sebut Kondisi Rizky Billar Masih Syok  https://t.co/ScBiTN5ezF,pro
@FireHost77 Semoga bisa buat tmbah modal,kontra
3 Rahasia Lesti Kejora dan Rizky Billar Akhirnya Dibongkar Inul Daratista #NewsRCTIPlus @RCTIPlus  https://t.co/pO3EfYg2Wc,pro
@CryptoKing4Ever Done proof  https://t.co/YzAhvYYkhb,kontra
@CryptoKing4Ever @Moonearth_io @Ox_Oktoberduit1  @claimtheprize69  @0xpinginbigwin  https://t.co/Boh09vk32X,kontra
"Viral! Beredar rekaman video CCTV saat Lesti Kejora tinggalkan rumah, jadi fakta baru kasus KDRT Rizky Billar? #LestiKejora #rizkybillar #lesti  https://t.co/mbDWMOXapS",pro
Lucinta Luna Pernah Dekat Rizky Billar? Ini Komentar IsaÂ Zega  https://t.co/qQp2runRMQ,kontra
detikcom mendapatkan video eksklusif momen Rizky Billar melemparkan bola biliar ke arah Lesti Kejora. Begini penjelasan polisi.  https://t.co/KeUrfnpuoN,kontra
"Tanggapi Masalah Rizky Billar dan Lesti Kejora, Farhat Abbas Minta Persoalan KDRT Tidak Usah Dibesar-besarkan    https://t.co/Lkdp2ApWvz t: Rektor UGM #DisleslatatGrabFood Ade Armando I Windah #ibukotapindah Okky #SegeraTangkapLE Kevin Julio Mbappe yAuDaHðŸ¤· BiArðŸ«‚ AkU leslar",kontra